2020-12-24 00:47:21.475 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [cn.edu.xmu.ooad.order.discount.BaseCouponDiscountTest]: no resource found for suffixes {-context.xml}.
2020-12-24 00:47:21.476 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.edu.xmu.ooad.order.discount.BaseCouponDiscountTest]: BaseCouponDiscountTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-12-24 00:47:21.523 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-12-24 00:47:21.542 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@747f281, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1169afe1, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2ca26d77, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@4808bc9b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@70e38ce1, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2ca923bb, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@13df2a8c, org.springframework.test.context.event.EventPublishingTestExecutionListener@1ebea008, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@72d6b3ba, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1787f2a0, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7de62196, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@163370c2, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@51bf5add, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@7905a0b8]
2020-12-24 00:47:21.665 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.edu.xmu.ooad.order.discount.BaseCouponDiscountTest], using DelegatingSmartContextLoader
2020-12-24 00:47:21.667 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [cn.edu.xmu.ooad.order.discount.BaseCouponDiscountTest]: no resource found for suffixes {-context.xml}.
2020-12-24 00:47:21.667 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.edu.xmu.ooad.order.discount.BaseCouponDiscountTest]: BaseCouponDiscountTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-12-24 00:47:21.669 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-12-24 00:47:21.671 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@332729ad, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@75d2da2d, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4278284b, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@9573584, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3370f42, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6057aebb, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@63eef88a, org.springframework.test.context.event.EventPublishingTestExecutionListener@53251a66, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6853425f, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@352c1b98, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@21129f1f, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5a9f4771, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@282cb7c7, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@7d898981]
2020-12-24 00:48:35.416 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.edu.xmu.ooad.order.discount.BaseCouponDiscountTest], using DelegatingSmartContextLoader
2020-12-24 00:48:35.423 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [cn.edu.xmu.ooad.order.discount.BaseCouponDiscountTest]: no resource found for suffixes {-context.xml}.
2020-12-24 00:48:35.424 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.edu.xmu.ooad.order.discount.BaseCouponDiscountTest]: BaseCouponDiscountTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-12-24 00:48:35.474 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-12-24 00:48:35.495 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@747f281, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1169afe1, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2ca26d77, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@4808bc9b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@70e38ce1, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2ca923bb, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@13df2a8c, org.springframework.test.context.event.EventPublishingTestExecutionListener@1ebea008, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@72d6b3ba, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1787f2a0, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7de62196, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@163370c2, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@51bf5add, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@7905a0b8]
2020-12-24 00:48:35.583 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.edu.xmu.ooad.order.discount.BaseCouponDiscountTest], using DelegatingSmartContextLoader
2020-12-24 00:48:35.584 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [cn.edu.xmu.ooad.order.discount.BaseCouponDiscountTest]: no resource found for suffixes {-context.xml}.
2020-12-24 00:48:35.585 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.edu.xmu.ooad.order.discount.BaseCouponDiscountTest]: BaseCouponDiscountTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-12-24 00:48:35.589 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-12-24 00:48:35.590 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@332729ad, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@75d2da2d, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4278284b, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@9573584, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3370f42, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6057aebb, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@63eef88a, org.springframework.test.context.event.EventPublishingTestExecutionListener@53251a66, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6853425f, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@352c1b98, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@21129f1f, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5a9f4771, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@282cb7c7, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@7d898981]
